time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,mode,
165.322,1.45217,-3.53683,0.222288,0.99985,-0.0126413,-0.00707136,0.00948154,1.73224,-4.19958,0.11363,0.999,0.0136027,0.0132479,-0.0404676,0,
165.382,1.48027,-3.53629,0.222679,0.999824,-0.0126584,-0.00704081,0.0118964,1.75953,-4.20179,0.112875,0.999097,0.0136353,0.0132144,-0.0380081,0,
165.442,1.50839,-3.53561,0.223066,0.999784,-0.0126795,-0.00700269,0.014905,1.78687,-4.20386,0.112122,0.999208,0.0136756,0.0131727,-0.0349575,0,
165.499,1.53187,-3.53483,0.222348,0.999736,-0.0125641,-0.00702715,0.0179169,1.81295,-4.20568,0.111409,0.999307,0.0137145,0.0131322,-0.0320017,0,
165.522,1.5395,-3.53446,0.221402,0.999717,-0.0124111,-0.0070671,0.0190058,1.82287,-4.20631,0.11114,0.999338,0.0137272,0.0131188,-0.03103,0,
165.622,1.58657,-3.53266,0.222045,0.999582,-0.0124543,-0.00699069,0.0251491,1.86869,-4.20914,0.109896,0.999512,0.0138089,0.0130329,-0.024791,0,
165.682,1.60929,-3.53142,0.221757,0.999506,-0.0123755,-0.00700945,0.0280386,1.8959,-4.21048,0.109168,0.999585,0.0138498,0.0129894,-0.0216464,0,
165.742,1.60929,-3.53142,0.221757,0.999506,-0.0123755,-0.00700945,0.0280386,1.92314,-4.21165,0.108443,0.999597,0.0138567,0.012982,-0.0211163,0,
165.8,1.66139,-3.52833,0.221471,0.999457,-0.0123053,-0.00712034,0.0297233,1.9496,-4.21276,0.10774,0.99962,0.0138714,0.0129663,-0.019985,0,
165.822,1.67156,-3.52773,0.221609,0.999436,-0.0123102,-0.00711177,0.0304194,1.95953,-4.21315,0.107476,0.999633,0.0138802,0.0129569,-0.0193075,0,
165.923,1.71592,-3.52467,0.221197,0.999425,-0.0118047,-0.00737268,0.0309344,2.00569,-4.21492,0.106255,0.999643,0.0138865,0.0129501,-0.0188183,0,
165.983,1.74028,-3.5229,0.22069,0.999406,-0.0114817,-0.00755217,0.0316028,2.03295,-4.21594,0.105534,0.999654,0.0138941,0.0129419,-0.0182288,0,
166.043,1.76806,-3.52114,0.22109,0.999396,-0.0114841,-0.00754851,0.0319214,2.06007,-4.21692,0.104818,0.99966,0.0138985,0.0129372,-0.0178889,0,
166.101,1.79274,-3.51907,0.220527,0.999407,-0.010732,-0.00890672,0.0314684,2.08657,-4.21786,0.104118,0.999655,0.0138951,0.0129409,-0.0181566,0,
166.123,1.8006,-3.51811,0.219744,0.99941,-0.00998761,-0.00994903,0.031308,2.09639,-4.21821,0.103859,0.999653,0.0138934,0.0129427,-0.0182841,0,
166.181,1.82458,-3.51623,0.219437,0.999393,-0.00934926,-0.0106294,0.0318452,2.12274,-4.21916,0.103163,0.999661,0.0138992,0.0129365,-0.0178396,0,
166.204,1.83529,-3.51554,0.219659,0.999391,-0.0093499,-0.0106288,0.0319051,2.13319,-4.21953,0.102888,0.999662,0.0139001,0.0129355,-0.0177643,0,
166.264,1.8635,-3.51373,0.220242,0.999405,-0.00934499,-0.0106331,0.031444,2.16072,-4.2205,0.102161,0.999654,0.0138945,0.0129416,-0.0182033,0,
166.324,1.88867,-3.51128,0.220404,0.999414,-0.00776739,-0.00989068,0.0318408,2.18841,-4.2215,0.10143,0.999666,0.0139032,0.0129322,-0.0175285,0,
166.383,1.91351,-3.50916,0.2203,0.99942,-0.00697963,-0.00945196,0.0319656,2.21615,-4.22246,0.100699,0.99967,0.0139061,0.012929,-0.0173011,0,
166.443,1.94185,-3.50735,0.220824,0.999403,-0.00698467,-0.00944823,0.0324993,2.24382,-4.22341,0.0999694,0.999679,0.013913,0.0129216,-0.0167701,0,
166.501,1.96935,-3.50555,0.221332,0.999399,-0.00698577,-0.00944742,0.0326151,2.27066,-4.2243,0.0992627,0.999681,0.0139148,0.0129197,-0.0166309,0,
166.524,1.97702,-3.50482,0.220519,0.999397,-0.00706589,-0.00938554,0.0326617,2.28135,-4.22466,0.0989813,0.99968,0.0139135,0.0129211,-0.0167334,0,
