time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,mode,
167.626,2.46556,-3.4678,0.218904,0.999115,-0.00558808,-0.00664042,0.0411489,3.40203,-3.37859,0.0913159,0.99765,0.0156022,0.0102867,0.0659173,0,
167.686,2.49439,-3.46542,0.219274,0.999099,-0.00559072,-0.0066382,0.0415454,3.42995,-3.37488,0.0907958,0.99762,0.0156068,0.0102796,0.0663665,0,
167.746,2.51966,-3.46312,0.218204,0.99912,-0.00557736,-0.00609816,0.0411182,3.45747,-3.37119,0.0902837,0.997648,0.0156025,0.0102862,0.0659467,0,
167.805,2.54482,-3.46089,0.217086,0.999098,-0.00552089,-0.00555635,0.0417336,3.48418,-3.36764,0.0897859,0.997612,0.0156082,0.0102776,0.0664977,0,
167.864,2.57203,-3.45861,0.217376,0.999089,-0.00552216,-0.00555509,0.0419616,3.51054,-3.3641,0.0892958,0.997595,0.0156107,0.0102737,0.0667467,0,
167.886,2.58261,-3.45772,0.217489,0.999091,-0.0055218,-0.00555546,0.0418959,3.52082,-3.36271,0.0891048,0.997598,0.0156103,0.0102744,0.0666996,0,
167.946,2.58261,-3.45772,0.217489,0.999091,-0.0055218,-0.00555546,0.0418959,3.54818,-3.35903,0.0885963,0.997594,0.0156109,0.0102734,0.0667644,0,
168.006,2.60869,-3.4553,0.216286,0.99909,-0.00550141,-0.00504991,0.0420041,3.57478,-3.35545,0.088102,0.99753,0.0156206,0.0102587,0.0677063,0,
168.066,2.66106,-3.45154,0.215201,0.99896,-0.00889288,-0.0049244,0.0444455,3.60212,-3.35171,0.0875954,0.997448,0.015633,0.0102398,0.0689108,0,
168.126,2.68819,-3.44985,0.215106,0.998879,-0.0120777,-0.00510764,0.0454934,3.62943,-3.34791,0.0870915,0.997387,0.0156419,0.0102262,0.0697812,0,
168.184,2.71367,-3.44793,0.214408,0.998853,-0.0139909,-0.00517032,0.045506,3.65578,-3.3442,0.0866066,0.997394,0.0156409,0.0102278,0.0696781,0,
168.207,2.72306,-3.44725,0.213277,0.998839,-0.0149917,-0.00511996,0.0454883,3.66629,-3.34272,0.0864133,0.997404,0.0156394,0.01023,0.0695374,0,
168.267,2.74838,-3.44493,0.212366,0.998805,-0.0150728,-0.00498834,0.0462247,3.69337,-3.33891,0.0859146,0.997358,0.0156462,0.0102196,0.0702001,0,
168.325,2.77322,-3.44269,0.211467,0.998839,-0.0152552,-0.00444023,0.045486,3.71982,-3.33517,0.0854287,0.9974,0.0156401,0.010229,0.0696015,0,
168.347,2.78244,-3.44174,0.210318,0.998869,-0.0145726,-0.00403311,0.0450806,3.72992,-3.33375,0.0852427,0.997423,0.0156367,0.0102342,0.0692706,0,
168.407,2.78244,-3.44174,0.210318,0.998869,-0.0145726,-0.00403311,0.0450806,3.75708,-3.32995,0.0847421,0.997483,0.0156277,0.0102479,0.0683949,0,
168.464,2.83414,-3.43678,0.208554,0.998947,-0.0126093,-0.00352502,0.043967,3.78343,-3.32631,0.0842552,0.997502,0.0156248,0.0102523,0.0681153,0,
168.487,2.84332,-3.43581,0.207574,0.998968,-0.0115455,-0.00332288,0.0438025,3.79343,-3.32493,0.0840701,0.997514,0.0156231,0.0102548,0.0679522,0,
168.545,2.86858,-3.43344,0.206814,0.998998,-0.0105701,-0.00316737,0.0433775,3.81983,-3.32131,0.0835813,0.997546,0.0156182,0.0102623,0.067474,0,
168.566,2.87849,-3.43244,0.205846,0.999012,-0.00964828,-0.00297551,0.0432697,3.82988,-3.31994,0.0833951,0.997556,0.0156167,0.0102647,0.0673232,0,
168.624,2.90441,-3.43006,0.205068,0.999032,-0.00883333,-0.00282124,0.0429929,3.85647,-3.31633,0.0829019,0.997577,0.0156135,0.0102695,0.0670131,0,
168.647,2.91469,-3.42905,0.204163,0.99906,-0.00804694,-0.00270626,0.0425016,3.8671,-3.31489,0.0827045,0.997606,0.015609,0.0102763,0.0665788,0,
168.707,2.91469,-3.42905,0.204163,0.99906,-0.00804694,-0.00270626,0.0425016,3.89436,-3.31123,0.0821977,0.997844,0.0155712,0.0103335,0.0629175,0,
168.767,2.96793,-3.42452,0.202755,0.999309,-0.00662554,-0.00256519,0.0364854,3.92182,-3.30774,0.081681,0.998005,0.0155441,0.0103743,0.0603055,0,
168.825,2.99372,-3.42262,0.202039,0.999438,-0.00608275,-0.00253483,0.0328554,3.94823,-3.30453,0.0811798,0.998221,0.0155056,0.0104317,0.0566104,0,
168.847,3.00354,-3.42203,0.201187,0.999501,-0.00569078,-0.00254365,0.0309667,3.95829,-3.30338,0.0809866,0.998323,0.0154866,0.01046,0.0547924,0,
168.905,3.02886,-3.4205,0.200581,0.999501,-0.00569078,-0.00254365,0.0309667,3.98461,-3.30048,0.0804785,0.998529,0.0154455,0.0105204,0.0508884,0,
168.928,3.02886,-3.4205,0.200581,0.999611,-0.00534705,-0.00254542,0.0272623,3.99514,-3.2994,0.0802728,0.998608,0.015429,0.0105446,0.0493244,0,
168.988,3.06481,-3.4187,0.199299,0.999772,-0.00472386,-0.00260196,0.020671,4.0223,-3.2967,0.0797393,0.998848,0.0153747,0.0106237,0.044194,0,
169.048,3.09179,-3.41771,0.19872,0.999861,-0.00481922,-0.00247421,0.0157787,4.04982,-3.29425,0.0791906,0.999046,0.0153244,0.0106962,0.0394786,0,
169.108,3.11863,-3.41695,0.198161,0.99992,-0.00466454,-0.0024366,0.0114676,4.07729,-3.29207,0.0786348,0.999204,0.0152789,0.0107609,0.0352495,0,
169.168,3.14519,-3.41639,0.197616,0.999965,-0.00439382,-0.00244877,0.00669128,4.10455,-3.29013,0.0780764,0.999359,0.015228,0.0108329,0.0305335,0,
169.226,3.1714,-3.41611,0.197075,0.999983,-0.00417176,-0.0024663,0.00310366,4.13144,-3.28848,0.077518,0.999463,0.0151888,0.0108879,0.0269237,0,
169.249,3.18161,-3.41613,0.1964,0.999987,-0.0039618,-0.00247029,0.0018311,4.14205,-3.2879,0.0772955,0.999494,0.0151761,0.0109056,0.025759,0,
169.308,3.20831,-3.4161,0.195924,0.99999,-0.00376706,-0.00245997,0.000451535,4.16964,-3.28647,0.0767146,0.999528,0.0151612,0.0109262,0.0243959,0,
169.368,3.23545,-3.41614,0.195417,0.99999,-0.0035755,-0.00238574,-0.000900415,4.19739,-3.28511,0.0761281,0.999557,0.0151477,0.0109449,0.0231664,0,
169.428,3.26258,-3.41627,0.194907,0.999989,-0.00346325,-0.00228171,-0.00197109,4.22516,-3.28381,0.0755392,0.999579,0.015137,0.0109598,0.022184,0,
169.488,3.26258,-3.41627,0.194907,0.999989,-0.00346325,-0.00228171,-0.00197109,4.25313,-3.28256,0.0749446,0.999608,0.0151224,0.0109799,0.0208547,0,
169.546,3.31621,-3.41671,0.193837,0.99998,-0.00311788,-0.00200903,-0.00513934,4.27981,-3.28144,0.0743751,0.999642,0.0151039,0.0110054,0.0191702,0,
169.569,3.3265,-3.4169,0.193185,0.999978,-0.0029986,-0.00181008,-0.00566036,4.29041,-3.28103,0.0741477,0.99965,0.0150987,0.0110125,0.0186986,0,
169.629,3.35336,-3.41727,0.192663,0.999971,-0.00289992,-0.00160548,-0.00682648,4.31787,-3.27999,0.0735581,0.999672,0.0150856,0.0110304,0.0175111,0,
169.687,3.37924,-3.4177,0.192157,0.99996,-0.00283476,-0.00139764,-0.00835977,4.34459,-3.27904,0.0729825,0.999698,0.0150681,0.0110542,0.0159329,0,
169.709,3.3889,-3.41796,0.19153,0.999955,-0.00274572,-0.00118964,-0.00897503,4.35481,-3.27872,0.0727612,0.999709,0.015061,0.011064,0.0152857,0,
169.769,3.3889,-3.41796,0.19153,0.999955,-0.00274572,-0.00118964,-0.00897503,4.38208,-3.27787,0.0721701,0.999733,0.0150426,0.0110889,0.0136284,0,
169.827,3.44138,-3.41917,0.190508,0.999921,-0.0025747,-0.000907847,-0.0122965,4.4091,-3.27713,0.0715819,0.999757,0.0150215,0.0111175,0.0117298,0,
169.849,3.45115,-3.4195,0.189845,0.999914,-0.002495,-0.00080274,-0.0128457,4.41907,-3.27689,0.0713635,0.999764,0.0150141,0.0111275,0.0110629,0,
169.907,3.47715,-3.42023,0.189273,0.999905,-0.00237248,-0.000775481,-0.0135298,4.44553,-3.27629,0.0707833,0.999772,0.0150054,0.0111392,0.0102792,0,
169.93,3.48716,-3.42057,0.188654,0.999902,-0.00231155,-0.000727381,-0.0137847,4.45603,-3.27608,0.0705525,0.999775,0.0150026,0.0111429,0.0100329,0,
169.987,3.51332,-3.42139,0.188095,0.999877,-0.00242129,-0.000757374,-0.0154522,4.48266,-3.27553,0.069967,0.999791,0.0149832,0.0111691,0.00828959,0,
170.01,3.52254,-3.42176,0.187518,0.999867,-0.0024614,-0.000817225,-0.0160766,4.49268,-3.27536,0.0697456,0.999797,0.0149753,0.0111796,0.00758829,0,
170.069,3.54858,-3.42266,0.187072,0.999852,-0.00247282,-0.000894216,-0.0170327,4.51988,-3.27494,0.0691436,0.999804,0.0149635,0.0111955,0.00652809,0,
170.127,3.57434,-3.4236,0.186574,0.999836,-0.00251932,-0.00099479,-0.0179262,4.54639,-3.27459,0.0685551,0.99981,0.0149533,0.0112091,0.00562029,0,
170.149,3.58364,-3.42401,0.186024,0.999827,-0.00252486,-0.0011067,-0.0183915,4.55646,-3.27447,0.0683309,0.999812,0.0149482,0.0112159,0.00516529,0,
170.207,3.60902,-3.425,0.185612,0.999798,-0.00251615,-0.00123393,-0.0199115,4.58301,-3.27419,0.0677395,0.999819,0.0149303,0.0112396,0.00357445,0,
170.229,3.6177,-3.4254,0.185133,0.999791,-0.00247818,-0.0013996,-0.0202503,4.59293,-3.27411,0.0675175,0.99982,0.0149256,0.0112459,0.00315678,0,
170.287,3.64358,-3.4265,0.184718,0.999766,-0.00239126,-0.00160278,-0.0214427,4.61963,-3.27393,0.0669195,0.999823,0.014912,0.0112639,0.00194864,0,
170.31,3.65347,-3.427,0.184212,0.999752,-0.00236694,-0.00181756,-0.0220498,4.63013,-3.27389,0.0666834,0.999825,0.0149052,0.0112729,0.00134525,0,
170.37,3.65347,-3.427,0.184212,0.999752,-0.00236694,-0.00181756,-0.0220498,4.65748,-3.27381,0.0660679,0.999825,0.0148972,0.0112835,0.000631237,0,
170.428,3.70543,-3.42947,0.183492,0.999723,-0.00219822,-0.00227446,-0.0233216,4.68387,-3.27376,0.0654728,0.999825,0.0148904,0.0112925,2.60934e-05,0,
170.45,3.71518,-3.43002,0.183023,0.999723,-0.00219822,-0.00227446,-0.0233216,4.69418,-3.27376,0.0652399,0.999825,0.0148867,0.0112974,-0.00029743,0,
170.508,3.74046,-3.43128,0.18275,0.999676,-0.00184133,-0.00277013,-0.0252274,4.72072,-3.27377,0.0646399,0.999824,0.0148695,0.01132,-0.0018188,0,
170.53,3.74046,-3.43128,0.18275,0.999676,-0.00184133,-0.00277013,-0.0252274,4.731,-3.2738,0.0644068,0.999823,0.0148632,0.0113283,-0.00237545,0,
170.588,3.77628,-3.43337,0.182008,0.999614,-0.00167308,-0.00317972,-0.0275494,4.75778,-3.27392,0.063798,0.999817,0.0148425,0.0113553,-0.00419735,0,
170.611,3.7864,-3.43407,0.18158,0.999596,-0.00152417,-0.0033595,-0.0281837,4.76845,-3.274,0.0635544,0.999813,0.0148343,0.0113661,-0.00492388,0,
170.67,3.81314,-3.43572,0.181335,0.999588,-0.00137712,-0.00352457,-0.0284407,4.796,-3.27427,0.0629239,0.999811,0.01483,0.0113717,-0.00529851,0,
170.73,3.8398,-3.43739,0.181102,0.999576,-0.00120558,-0.00373599,-0.02886,4.82352,-3.27455,0.0622936,0.999809,0.0148254,0.0113776,-0.00569953,0,
170.788,3.86487,-3.439,0.180914,0.99956,-0.00100953,-0.00392068,-0.0293681,4.84992,-3.27484,0.0616885,0.999806,0.0148198,0.011385,-0.0061964,0,
170.81,3.87361,-3.43973,0.180549,0.999554,-0.000855441,-0.00413581,-0.0295742,4.8598,-3.27496,0.0614615,0.999805,0.0148181,0.0113872,-0.00634559,0,
170.868,3.8988,-3.44142,0.180376,0.999524,-0.000653831,-0.00433197,-0.0305236,4.8862,-3.27529,0.0608553,0.999799,0.0148074,0.0114011,-0.00728461,0,
170.891,3.90839,-3.44229,0.180002,0.999506,-0.0004006,-0.00456133,-0.0310802,4.89654,-3.27543,0.0606171,0.999795,0.0148014,0.0114089,-0.00780868,0,
170.951,3.93502,-3.44423,0.179828,0.999463,-0.000150552,-0.00475566,-0.0324209,4.92392,-3.27585,0.0599861,0.999783,0.0147854,0.0114296,-0.00921057,0,
171.011,3.9614,-3.44618,0.179691,0.99942,0.000149401,-0.00494595,-0.0337053,4.95136,-3.27635,0.0593511,0.99977,0.01477,0.0114495,-0.010554,0,
171.071,3.98805,-3.44824,0.179537,0.999395,0.000378415,-0.00515315,-0.0343882,4.97891,-3.27692,0.0587116,0.999762,0.0147616,0.0114603,-0.0112891,0,
171.131,4.01445,-3.45033,0.17939,0.999338,0.000515999,-0.00534754,-0.0359911,5.00627,-3.27753,0.0580752,0.999742,0.0147433,0.0114838,-0.0128808,0,
171.189,4.03994,-3.45243,0.179237,0.999294,0.000687492,-0.00552992,-0.0371547,5.03274,-3.2782,0.0574569,0.999726,0.0147295,0.0115015,-0.014082,0,
171.212,4.04989,-3.45347,0.178868,0.999285,0.000922993,-0.00573434,-0.0373491,5.04338,-3.2785,0.0572076,0.999723,0.0147271,0.0115047,-0.0142947,0,
171.271,4.07539,-3.45563,0.17874,0.999259,0.00116213,-0.00589964,-0.0380103,5.06987,-3.27925,0.0565866,0.999714,0.0147196,0.0115142,-0.0149418,0,
171.372,4.12091,-3.45937,0.17883,0.999244,0.00126474,-0.00604156,-0.0383843,5.11584,-3.28061,0.0555074,0.999709,0.0147158,0.0115191,-0.015273,0,
171.432,4.14681,-3.46163,0.178729,0.999238,0.00120265,-0.00613821,-0.0385396,5.14298,-3.28143,0.0548698,0.999707,0.0147147,0.0115205,-0.0153695,0,
171.49,4.1721,-3.46385,0.178628,0.999231,0.00118595,-0.00626037,-0.0386953,5.16952,-3.28223,0.0542458,0.999706,0.0147135,0.0115221,-0.0154775,0,
171.511,4.18098,-3.46484,0.178269,0.999235,0.00125054,-0.00637632,-0.0385677,5.17948,-3.28254,0.0540117,0.999708,0.0147151,0.0115199,-0.0153319,0,
171.569,4.20624,-3.46708,0.178178,0.999241,0.00129134,-0.00648014,-0.0384021,5.20593,-3.28334,0.0533901,0.999711,0.0147175,0.0115169,-0.0151254,0,
171.591,4.21498,-3.46806,0.177847,0.999244,0.00129204,-0.0065932,-0.0382806,5.21589,-3.28364,0.053156,0.999713,0.0147187,0.0115154,-0.0150258,0,
171.649,4.23998,-3.47027,0.177785,0.999314,0.00116823,-0.0066669,-0.0364215,5.2422,-3.28442,0.0525383,0.999739,0.0147399,0.0114882,-0.0131786,0,
171.672,4.24945,-3.47127,0.177468,0.99934,0.00123179,-0.00677715,-0.0356819,5.25278,-3.2847,0.052291,0.999748,0.0147481,0.0114777,-0.0124668,0,
171.732,4.27537,-3.4734,0.177409,0.999414,0.00131276,-0.00687117,-0.033497,5.27978,-3.28536,0.051661,0.999773,0.0147732,0.0114454,-0.0102752,0,
171.79,4.27537,-3.4734,0.177409,0.999414,0.00131276,-0.00687117,-0.033497,5.30656,-3.2859,0.0510397,0.999796,0.0148037,0.0114059,-0.00760605,0,
171.812,4.30983,-3.4762,0.17704,0.999528,0.00156454,-0.00705105,-0.029868,5.31657,-3.28605,0.0508092,0.999803,0.0148145,0.0113918,-0.00665728,0,
171.872,4.30983,-3.4762,0.17704,0.999528,0.00156454,-0.00705105,-0.029868,5.34402,-3.28641,0.0501782,0.999815,0.0148384,0.0113607,-0.00455686,0,
171.93,4.36212,-3.47979,0.176952,0.999605,0.00159305,-0.00711048,-0.0271281,5.37088,-3.28664,0.0495642,0.999818,0.0148459,0.0113509,-0.00390025,0,
171.953,4.37172,-3.48058,0.176646,0.999615,0.00167984,-0.00710975,-0.026762,5.38159,-3.28672,0.0493199,0.999819,0.0148487,0.0113472,-0.00364908,0,
