time,pcwx,pcwy,pcwz,pcwHatx,pcwHaty,pcwHatz,p0wx,p0wy,p0wz,p0wHatx,p0wHaty,p0wHatz,converged0,p1wx,p1wy,p1wz,p1wHatx,p1wHaty,p1wHatz,converged1,p2wx,p2wy,p2wz,p2wHatx,p2wHaty,p2wHatz,converged2,p3wx,p3wy,p3wz,p3wHatx,p3wHaty,p3wHatz,converged3,p4wx,p4wy,p4wz,p4wHatx,p4wHaty,p4wHatz,converged4,p5wx,p5wy,p5wz,p5wHatx,p5wHaty,p5wHatz,converged5,p6wx,p6wy,p6wz,p6wHatx,p6wHaty,p6wHatz,converged6,p7wx,p7wy,p7wz,p7wHatx,p7wHaty,p7wHatz,converged7,p8wx,p8wy,p8wz,p8wHatx,p8wHaty,p8wHatz,converged8,p9wx,p9wy,p9wz,p9wHatx,p9wHaty,p9wHatz,converged9,p10wx,p10wy,p10wz,p10wHatx,p10wHaty,p10wHatz,converged10,p11wx,p11wy,p11wz,p11wHatx,p11wHaty,p11wHatz,converged11,p12wx,p12wy,p12wz,p12wHatx,p12wHaty,p12wHatz,converged12,p13wx,p13wy,p13wz,p13wHatx,p13wHaty,p13wHatz,converged13,p14wx,p14wy,p14wz,p14wHatx,p14wHaty,p14wHatz,converged14,p15wx,p15wy,p15wz,p15wHatx,p15wHaty,p15wHatz,converged15,
0.333341,-4.02629,-3.59823,0.29389,-3.29461,-3.97067,0.293075,-3.72184,-1.86,0.851991,-2.81596,-1.30348,1.15901,0,-4.28365,-1.86,0.817542,-3.659,-1.60219,1.00999,0,-4.45619,-1.86,0.744908,-3.90188,-1.54817,0.932113,0,-4.72593,-1.86,0.516967,-4.26964,-1.58017,0.605885,0,-3.70549,-1.86,0.383171,-2.78913,-1.26466,0.436233,0,-3.58811,-1.86,0.82235,-2.66778,-1.45455,1.07324,0,-4.58478,-1.86,0.546509,-4.10419,-1.46464,0.66524,0,-3.97548,-1.86,0.677197,-3.24011,-1.58094,0.829624,0,-4.28735,-1.86,0.630309,-3.67257,-1.52751,0.766471,0,-4.00123,-1.86,0.178547,-3.25584,-1.48478,0.126429,0,-3.59006,-1.86,0.190575,-2.58849,-1.2165,0.141856,0,-4.65691,-1.86,0.367424,-4.20288,-1.48603,0.402482,0,-4.50808,-1.86,0.351914,-3.9751,-1.57626,0.375979,0,-3.86186,-1.86,0.574644,-3.06187,-1.45584,0.707093,0,-4.26336,-1.86,0.495228,-3.64387,-1.34585,0.599571,0,-4.14578,-1.86,0.877788,-3.46914,-1.5383,1.1195,0,
0.366675,-4.02629,-3.59823,0.29389,-3.28226,-3.96991,0.292793,-3.72184,-1.86,0.851991,-2.83838,-1.37573,1.1362,0,-4.28365,-1.86,0.817542,-3.65737,-1.64413,1.0002,0,-4.45619,-1.86,0.744908,-3.89613,-1.60248,0.918066,0,-4.72593,-1.86,0.516967,-4.25594,-1.62871,0.597928,0,-3.70549,-1.86,0.383171,-2.80838,-1.32627,0.433202,0,-3.58811,-1.86,0.82235,-2.6908,-1.51454,1.05612,0,-4.58478,-1.86,0.546509,-4.08901,-1.53613,0.654844,0,-3.97548,-1.86,0.677197,-3.25004,-1.66121,0.811116,0,-4.28735,-1.86,0.630309,-3.66969,-1.6048,0.753132,0,-4.00123,-1.86,0.178547,-3.26602,-1.55433,0.133178,0,-3.59006,-1.86,0.190575,-2.61668,-1.28993,0.145995,0,-4.65691,-1.86,0.367424,-4.18474,-1.55661,0.39804,0,-4.50808,-1.86,0.351914,-3.96767,-1.62087,0.373699,0,-3.86186,-1.86,0.574644,-3.07527,-1.52392,0.697869,0,-4.26336,-1.86,0.495228,-3.6404,-1.47511,0.588607,0,-4.14578,-1.86,0.877788,-3.47222,-1.60184,1.09831,0,
0.400009,-4.00038,-3.59753,0.29385,-3.25535,-3.96806,0.292183,-3.72184,-1.86,0.851991,-2.83089,-1.41048,1.11999,0,-4.28365,-1.86,0.817542,-3.63934,-1.66767,0.986212,0,-4.45619,-1.86,0.744908,-3.87583,-1.6216,0.909582,0,-4.72593,-1.86,0.516967,-4.23423,-1.64136,0.59683,0,-3.70549,-1.86,0.383171,-2.80356,-1.36966,0.425062,0,-3.58811,-1.86,0.82235,-2.67916,-1.53196,1.04512,0,-4.58478,-1.86,0.546509,-4.06469,-1.56479,0.648187,0,-3.97548,-1.86,0.677197,-3.23412,-1.67942,0.807223,0,-4.28735,-1.86,0.630309,-3.64982,-1.64129,0.740565,0,-4.00123,-1.86,0.178547,-3.254,-1.60092,0.130253,0,-3.59006,-1.86,0.190575,-2.6126,-1.33053,0.141073,0,-4.65691,-1.86,0.367424,-4.15563,-1.60145,0.394891,0,-4.50808,-1.86,0.351914,-3.944,-1.66155,0.370553,0,-3.86186,-1.86,0.574644,-3.06501,-1.55965,0.687247,0,-4.26336,-1.86,0.495228,-3.61853,-1.51324,0.574932,0,-4.14578,-1.86,0.877788,-3.45547,-1.62403,1.08744,0,
0.433343,-3.99134,-3.59719,0.293496,-3.23981,-3.96706,0.291829,-3.72184,-1.86,0.851991,-2.83935,-1.44068,1.10672,0,-4.28365,-1.86,0.817542,-3.63778,-1.69955,0.975497,0,-4.45619,-1.86,0.744908,-3.86916,-1.66938,0.893462,0,-4.72593,-1.86,0.516967,-4.22389,-1.67912,0.588507,0,-3.70549,-1.86,0.383171,-2.81486,-1.4102,0.420376,0,-3.58811,-1.86,0.82235,-2.70104,-1.58801,1.02513,0,-4.58478,-1.86,0.546509,-4.05851,-1.5908,0.641766,0,-3.97548,-1.86,0.677197,-3.2367,-1.69999,0.801967,0,-4.28735,-1.86,0.630309,-3.64728,-1.67111,0.732702,0,-4.00123,-1.86,0.178547,-3.2563,-1.63676,0.128438,0,-3.59006,-1.86,0.190575,-2.62871,-1.37555,0.14011,0,-4.65691,-1.86,0.367424,-4.14858,-1.61901,0.389011,0,-4.50808,-1.86,0.351914,-3.93797,-1.68711,0.366367,0,-3.86186,-1.86,0.574644,-3.06981,-1.5897,0.678113,0,-4.26336,-1.86,0.495228,-3.61626,-1.55131,0.567115,0,-4.14578,-1.86,0.877788,-3.45625,-1.65292,1.07437,0,
0.466677,-3.96462,-3.59663,0.293491,-3.24524,-3.96738,0.291953,-3.72184,-1.86,0.851991,-2.88332,-1.49558,1.08651,0,-4.28365,-1.86,0.817542,-3.66083,-1.76197,0.953572,0,-4.45619,-1.86,0.744908,-3.88942,-1.71224,0.88216,0,-4.72593,-1.86,0.516967,-4.22434,-1.76955,0.574726,0,-3.70549,-1.86,0.383171,-2.86246,-1.47989,0.415122,0,-3.58811,-1.86,0.82235,-2.747,-1.64288,1.00659,0,-4.58478,-1.86,0.546509,-4.07419,-1.65013,0.632681,0,-3.97548,-1.86,0.677197,-3.27055,-1.75573,0.789009,0,-4.28735,-1.86,0.630309,-3.67202,-1.7136,0.724976,0,-4.00123,-1.86,0.178547,-3.28914,-1.69261,0.132181,0,-3.59006,-1.86,0.190575,-2.68092,-1.44321,0.142301,0,-4.65691,-1.86,0.367424,-4.1705,-1.64446,0.386491,0,-4.50808,-1.86,0.351914,-3.9557,-1.74153,0.362961,0,-3.86186,-1.86,0.574644,-3.10828,-1.64866,0.667886,0,-4.26336,-1.86,0.495228,-3.6418,-1.60387,0.562837,0,-4.14578,-1.86,0.877788,-3.48511,-1.71192,1.05439,0,
0.500011,-3.96462,-3.59663,0.293491,-3.21764,-3.96559,0.291325,-3.72184,-1.86,0.851991,-2.88707,-1.57276,1.06076,0,-4.28365,-1.86,0.817542,-3.63943,-1.8207,0.936988,0,-4.45619,-1.86,0.744908,-3.86239,-1.77521,0.868224,0,-4.72593,-1.86,0.516967,-4.18517,-1.83342,0.570334,0,-3.70549,-1.86,0.383171,-2.86622,-1.55937,0.410987,0,-3.58811,-1.86,0.82235,-2.75259,-1.70974,0.985965,0,-4.58478,-1.86,0.546509,-4.03226,-1.75149,0.616373,0,-3.97548,-1.86,0.677197,-3.25901,-1.80998,0.775657,0,-4.28735,-1.86,0.630309,-3.64812,-1.80522,0.70868,0,-4.00123,-1.86,0.178547,-3.27824,-1.76044,0.136769,0,-3.59006,-1.86,0.190575,-2.69393,-1.53254,0.147358,0,-4.65691,-1.86,0.367424,-4.13119,-1.73045,0.384696,0,-4.50808,-1.86,0.351914,-3.93082,-1.77956,0.362502,0,-3.86186,-1.86,0.574644,-3.10517,-1.73261,0.656969,0,-4.26336,-1.86,0.495228,-3.62142,-1.66501,0.557179,0,-4.14578,-1.86,0.877788,-3.46852,-1.76513,1.03667,0,
0.533345,-3.93852,-3.59656,0.293469,-3.20228,-3.96465,0.290974,-3.72184,-1.86,0.851991,-2.91123,-1.67721,1.03011,0,-4.28365,-1.86,0.817542,-3.62938,-1.91337,0.914627,0,-4.45619,-1.86,0.744908,-3.84457,-1.86559,0.846338,0,-4.72593,-1.86,0.516967,-4.15773,-1.91163,0.56265,0,-3.70549,-1.86,0.383171,-2.89217,-1.67086,0.409325,0,-3.58811,-1.86,0.82235,-2.77159,-1.77272,0.967104,0,-4.58478,-1.86,0.546509,-3.99871,-1.87095,0.600393,0,-3.97548,-1.86,0.677197,-3.26441,-1.88693,0.760148,0,-4.28735,-1.86,0.630309,-3.64,-1.86784,0.697874,0,-4.00123,-1.86,0.178547,-3.28484,-1.883,0.147494,0,-3.59006,-1.86,0.190575,-2.72671,-1.6403,0.158008,0,-4.65691,-1.86,0.367424,-4.10206,-1.82256,0.383602,0,-4.50808,-1.86,0.351914,-3.91585,-1.84819,0.362008,0,-3.86186,-1.86,0.574644,-3.1155,-1.81276,0.644838,0,-4.26336,-1.86,0.495228,-3.60812,-1.81319,0.542892,0,-4.14578,-1.86,0.877788,-3.46622,-1.88177,0.995616,0,
0.566679,-3.92833,-3.59652,0.293104,-3.19059,-3.96431,0.290696,-3.72184,-1.86,0.851991,-2.91029,-1.67602,1.02975,0,-4.28365,-1.86,0.817542,-3.62879,-1.88864,0.918443,0,-4.45619,-1.86,0.744908,-3.84575,-1.85507,0.848146,0,-4.72593,-1.86,0.516967,-3.98696,-2.26774,0.515402,0,-3.70549,-1.86,0.383171,-2.8912,-1.6694,0.408572,0,-3.58811,-1.86,0.82235,-2.77155,-1.77039,0.96785,0,-4.58478,-1.86,0.546509,-3.85667,-2.23251,0.548056,0,-3.97548,-1.86,0.677197,-3.26501,-1.88473,0.761732,0,-4.28735,-1.86,0.630309,-3.64157,-1.8584,0.697983,0,-4.00123,-1.86,0.178547,-3.27977,-1.85845,0.146891,0,-3.59006,-1.86,0.190575,-2.72724,-1.64321,0.156485,0,-4.65691,-1.86,0.367424,-3.93538,-2.21117,0.368008,0,-4.50808,-1.86,0.351914,-3.91853,-1.83407,0.361649,0,-3.86186,-1.86,0.574644,-3.12855,-2.19751,0.580879,0,-4.26336,-1.86,0.495228,-3.5377,-2.17035,0.500968,0,-4.14578,-1.86,0.877788,-3.46452,-1.86871,0.99907,0,
0.600013,-3.90233,-3.59635,0.293097,-3.17967,-3.96384,0.29044,-3.72184,-1.86,0.851991,-2.91439,-1.66721,1.03346,0,-4.28365,-1.86,0.817542,-3.63766,-1.89138,0.921242,0,-4.45619,-1.86,0.744908,-3.85453,-1.84178,0.851944,0,-4.72593,-1.86,0.516967,-4.0066,-2.22715,0.51978,0,-3.70549,-1.86,0.383171,-2.89429,-1.66007,0.413249,0,-3.58811,-1.86,0.82235,-2.77644,-1.76492,0.971151,0,-4.58478,-1.86,0.546509,-3.86588,-2.20864,0.551159,0,-3.97548,-1.86,0.677197,-3.26987,-1.87045,0.763832,0,-4.28735,-1.86,0.630309,-3.64905,-1.84123,0.700689,0,-4.00123,-1.86,0.178547,-3.2842,-1.83576,0.147978,0,-3.59006,-1.86,0.190575,-2.81465,-2.08048,0.179307,0,-4.65691,-1.86,0.367424,-3.95123,-2.17781,0.36736,0,-4.50808,-1.86,0.351914,-3.92825,-1.81941,0.36225,0,-3.86186,-1.86,0.574644,-3.13055,-2.2015,0.580237,0,-4.26336,-1.86,0.495228,-3.54179,-2.16636,0.499016,0,-4.14578,-1.86,0.877788,-3.47164,-1.85832,1.00399,0,
0.633347,-3.90233,-3.59635,0.293097,-3.15248,-3.96244,0.289811,-3.72184,-1.86,0.851991,-2.90353,-1.69125,1.02687,0,-4.28365,-1.86,0.817542,-3.55852,-2.17297,0.831575,0,-4.45619,-1.86,0.744908,-3.73825,-2.1598,0.767063,0,-4.72593,-1.86,0.516967,-3.96942,-2.26778,0.513329,0,-3.70549,-1.86,0.383171,-2.88813,-1.70147,0.412225,0,-3.58811,-1.86,0.82235,-2.76989,-1.79638,0.960569,0,-4.58478,-1.86,0.546509,-3.83972,-2.23515,0.546632,0,-3.97548,-1.86,0.677197,-3.24057,-2.19252,0.689816,0,-4.28735,-1.86,0.630309,-3.56174,-2.17703,0.63669,0,-4.00123,-1.86,0.178547,-3.25337,-2.10575,0.164039,0,-3.59006,-1.86,0.190575,-2.79951,-2.08163,0.180008,0,-4.65691,-1.86,0.367424,-3.92057,-2.21386,0.363805,0,-4.50808,-1.86,0.351914,-3.80174,-2.13827,0.351204,0,-3.86186,-1.86,0.574644,-3.11545,-2.20455,0.579945,0,-4.26336,-1.86,0.495228,-3.523,-2.16899,0.499662,0,-4.14578,-1.86,0.877788,-3.45503,-1.89077,0.993162,0,
