time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,mode,
204.966,1.05439,3.77301,0.230802,0.0376915,0.0192615,0.0085107,0.999068,1.20412,3.7038,0.396797,0.0353899,0.0134022,-0.017584,0.999129,0,
205.024,1.02766,3.77504,0.231266,0.0373824,0.0192396,0.0085123,0.99908,1.17761,3.70567,0.397542,0.0351245,0.0133975,-0.0175875,0.999138,0,
205.047,1.01652,3.77583,0.231125,0.0373717,0.0193056,0.00869169,0.999077,1.1671,3.7064,0.397837,0.03509,0.0133969,-0.017588,0.99914,0,
205.107,0.988916,3.77788,0.231634,0.0374974,0.0193721,0.00871089,0.999071,1.13969,3.70832,0.398607,0.0352073,0.013399,-0.0175864,0.999135,0,
205.165,0.962052,3.77987,0.232108,0.0364466,0.0194144,0.00866398,0.99911,1.11303,3.71018,0.399356,0.034163,0.0133806,-0.0176004,0.999172,0,
205.187,0.951206,3.78061,0.231953,0.0361292,0.0194822,0.0086551,0.99912,1.10287,3.71088,0.39964,0.033809,0.0133743,-0.0176051,0.999184,0,
205.247,0.923908,3.78253,0.232484,0.0354267,0.0195403,0.00870535,0.999143,1.0755,3.71272,0.400407,0.0330223,0.0133605,-0.0176157,0.99921,0,
205.304,0.897147,3.78442,0.232984,0.0352711,0.0194867,0.00855218,0.999151,1.04874,3.71447,0.401154,0.0328554,0.0133575,-0.0176179,0.999216,0,
205.327,0.886129,3.78514,0.232839,0.0351202,0.0195245,0.00860684,0.999155,1.03815,3.71517,0.40145,0.0327258,0.0133553,-0.0176196,0.99922,0,
205.387,0.858825,3.78706,0.233368,0.034759,0.0195548,0.00849489,0.999168,1.01085,3.71694,0.402212,0.0323682,0.0133489,-0.0176244,0.999232,0,
205.447,0.831219,3.789,0.233886,0.0343662,0.0195064,0.00829421,0.999185,0.983515,3.7187,0.402974,0.0320349,0.0133431,-0.0176289,0.999242,0,
205.507,0.831219,3.789,0.233886,0.0343662,0.0195064,0.00829421,0.999185,0.956248,3.72044,0.403734,0.0314239,0.0133323,-0.017637,0.999262,0,
205.567,0.775686,3.79342,0.235953,0.0340912,0.0204992,0.00540132,0.999194,0.928814,3.72215,0.404497,0.0316776,0.0133368,-0.0176336,0.999254,0,
205.625,0.748474,3.79528,0.237061,0.0341316,0.020499,0.00540215,0.999192,0.902251,3.72383,0.405236,0.0317297,0.0133377,-0.0176329,0.999252,0,
205.648,0.737475,3.79604,0.237509,0.0339599,0.0204999,0.00539863,0.999198,0.891545,3.7245,0.405534,0.0315776,0.013335,-0.017635,0.999257,0,
205.708,0.709254,3.79797,0.238658,0.032678,0.0205068,0.00537233,0.999241,0.863974,3.72623,0.406302,0.0303097,0.0133126,-0.0176519,0.999296,0,
205.766,0.681952,3.79976,0.239771,0.0321087,0.0205099,0.00536064,0.99926,0.837331,3.72784,0.407041,0.0296928,0.0133017,-0.0176601,0.999315,0,
205.788,0.671477,3.80044,0.240198,0.0320855,0.02051,0.00536017,0.99926,0.827111,3.72844,0.407324,0.0296424,0.0133008,-0.0176608,0.999316,0,
205.848,0.643507,3.80224,0.241338,0.0315318,0.020513,0.0053488,0.999278,0.799789,3.73005,0.40808,0.0290965,0.0132912,-0.017668,0.999332,0,
205.908,0.615273,3.80403,0.242489,0.0314951,0.0205132,0.00534805,0.999279,0.772241,3.73164,0.408842,0.0290333,0.0132901,-0.0176689,0.999334,0,
205.965,0.587867,3.80577,0.243607,0.0319633,0.0205107,0.00535766,0.999264,0.745504,3.73319,0.409581,0.029485,0.013298,-0.0176628,0.999321,0,
205.988,0.577557,3.80643,0.244027,0.0321642,0.0205096,0.00536178,0.999258,0.735416,3.73378,0.40986,0.0296868,0.0133016,-0.0176602,0.999315,0,
206.088,0.53001,3.80951,0.245965,0.0288659,0.0205272,0.00529406,0.999358,0.689021,3.73651,0.411145,0.0264374,0.0132441,-0.0177033,0.999406,0,
206.148,0.501915,3.81114,0.247112,0.026751,0.0205383,0.00525061,0.999417,0.661593,3.73795,0.411898,0.0242816,0.0132059,-0.0177318,0.999461,0,
206.208,0.501915,3.81114,0.247112,0.026751,0.0205383,0.00525061,0.999417,0.634066,3.73928,0.41265,0.0221197,0.0131675,-0.0177604,0.999511,0,
206.266,0.446607,3.814,0.249373,0.0228138,0.0205589,0.00516966,0.999515,0.607612,3.74044,0.413368,0.0202351,0.013134,-0.0177852,0.999551,0,
206.288,0.436432,3.81447,0.24979,0.0222589,0.0205617,0.00515825,0.999528,0.597666,3.74083,0.413636,0.0196476,0.0131235,-0.0177929,0.999563,0,
206.389,0.389199,3.81658,0.251724,0.0199089,0.0205738,0.00510989,0.999577,0.551577,3.74263,0.414879,0.0172298,0.0130805,-0.0178246,0.999607,0,
206.449,0.361294,3.8177,0.252868,0.0181749,0.0205826,0.00507419,0.99961,0.524333,3.74355,0.415609,0.0154695,0.0130491,-0.0178476,0.999636,0,
206.509,0.361294,3.8177,0.252868,0.0181749,0.0205826,0.00507419,0.99961,0.497042,3.74438,0.416337,0.0134356,0.0130127,-0.0178741,0.999665,0,
206.567,0.306152,3.81961,0.255131,0.0145085,0.0206011,0.00499867,0.99967,0.470531,3.74508,0.41704,0.0117127,0.0129819,-0.0178965,0.999687,0,
206.589,0.306152,3.81961,0.255131,0.0145085,0.0206011,0.00499867,0.99967,0.46062,3.74531,0.417301,0.011039,0.0129698,-0.0179052,0.999695,0,
206.647,0.268939,3.82066,0.256661,0.0123914,0.0206116,0.00495503,0.999698,0.434208,3.74588,0.417997,0.00953078,0.0129428,-0.0179248,0.99971,0,
206.67,0.258154,3.82093,0.257105,0.0116776,0.0206152,0.00494031,0.999707,0.423693,3.74608,0.418273,0.00881566,0.01293,-0.017934,0.999717,0,
206.73,0.23025,3.82159,0.258253,0.0101696,0.0206226,0.00490921,0.999724,0.396447,3.74655,0.418986,0.00725341,0.0129019,-0.0179542,0.999729,0,
206.789,0.23025,3.82159,0.258253,0.0101696,0.0206226,0.00490921,0.999724,0.369241,3.74693,0.419695,0.00578176,0.0128755,-0.0179732,0.999739,0,
206.849,0.174001,3.82266,0.26057,0.00673327,0.0206394,0.0048383,0.999753,0.341579,3.74724,0.420413,0.00375582,0.0128391,-0.0179992,0.999749,0,
206.909,0.145992,3.82305,0.261725,0.00482675,0.0206486,0.00479893,0.999764,0.314233,3.74743,0.421119,0.00179825,0.0128038,-0.0180244,0.999754,0,
206.967,0.118627,3.82332,0.262854,0.00310488,0.0206568,0.00476336,0.99977,0.287544,3.74751,0.421805,2.67071e-05,0.0127718,-0.018047,0.999756,0,
206.99,0.107752,3.82339,0.263304,0.00239535,0.0206602,0.0047487,0.999772,0.276927,3.74751,0.422076,-0.000698118,0.0127587,-0.0180563,0.999755,0,
207.05,0.0796838,3.82353,0.264464,0.000278824,0.0206702,0.00470495,0.999775,0.249533,3.74746,0.422774,-0.00285287,0.0127198,-0.0180837,0.999752,0,
207.11,0.051575,3.82355,0.265626,-0.00161522,0.020679,0.00466578,0.999774,0.222109,3.74729,0.423469,-0.00480482,0.0126845,-0.0181085,0.999744,0,
207.171,0.0230142,3.82346,0.266809,-0.00398506,0.02069,0.00461675,0.999767,0.194242,3.74701,0.424171,-0.00721164,0.0126408,-0.018139,0.99973,0,
207.23,-0.0043815,3.82325,0.267944,-0.00605044,0.0206995,0.004574,0.999757,0.167492,3.74661,0.424841,-0.00934016,0.0126022,-0.0181659,0.999712,0,
207.288,-0.0314056,3.82293,0.269065,-0.00750116,0.0207062,0.00454396,0.999747,0.141135,3.7461,0.425496,-0.0108582,0.0125746,-0.018185,0.999697,0,
207.311,-0.0420969,3.82277,0.269509,-0.00780314,0.0207075,0.0045377,0.999745,0.130705,3.74587,0.425755,-0.0112032,0.0125683,-0.0181893,0.999693,0,
207.371,-0.0682256,3.82278,0.267843,-0.00982184,0.0204364,0.00627115,0.999723,0.10346,3.74525,0.426428,-0.0126081,0.0125427,-0.018207,0.999676,0,
207.429,-0.101237,3.82159,0.267211,-0.0110535,0.0195797,0.00870295,0.999709,0.0769611,3.74457,0.427081,-0.0136162,0.0125244,-0.0182196,0.999663,0,
207.451,-0.118069,3.82073,0.266071,-0.0116663,0.0186819,0.0110933,0.999696,0.0667897,3.74429,0.427331,-0.0140356,0.0125167,-0.0182249,0.999657,0,
207.511,-0.118069,3.82073,0.266071,-0.0116663,0.0186819,0.0110933,0.999696,0.0395782,3.74351,0.427999,-0.0150434,0.0124983,-0.0182375,0.999642,0,
207.57,-0.182306,3.8186,0.264794,-0.0143954,0.0168162,0.0158351,0.99963,0.0122499,3.74268,0.428667,-0.0165131,0.0124715,-0.0182558,0.999619,0,
207.628,-0.211601,3.81783,0.263817,-0.0152602,0.0159349,0.0178996,0.999596,-0.0142205,3.74179,0.429312,-0.01731,0.012457,-0.0182658,0.999606,0,
207.65,-0.223765,3.81768,0.262219,-0.0153831,0.0151201,0.0196888,0.999573,-0.0241609,3.74144,0.429553,-0.0173465,0.0124563,-0.0182662,0.999605,0,
207.751,-0.269304,3.81678,0.261574,-0.0169655,0.0145342,0.0208607,0.999533,-0.0701342,3.73982,0.43067,-0.0188321,0.0124291,-0.0182847,0.999578,0,
207.811,-0.295172,3.81653,0.260353,-0.0179929,0.0141621,0.0213772,0.999509,-0.0972683,3.73879,0.431326,-0.0197806,0.0124118,-0.0182965,0.99956,0,
207.871,-0.320304,3.81623,0.259361,-0.0201931,0.0139708,0.0214991,0.999467,-0.124453,3.7377,0.431982,-0.0219428,0.0123722,-0.0183233,0.999515,0,
207.929,-0.320304,3.81623,0.259361,-0.0201931,0.0139708,0.0214991,0.999467,-0.151179,3.73652,0.432622,-0.0229026,0.0123546,-0.0183352,0.999493,0,
207.951,-0.353347,3.81601,0.257209,-0.021389,0.0138133,0.0209307,0.999457,-0.161198,3.73605,0.432861,-0.0231478,0.0123501,-0.0183382,0.999488,0,
208.009,-0.353347,3.81601,0.257209,-0.021389,0.0138133,0.0209307,0.999457,-0.187816,3.73481,0.433497,-0.0245485,0.0123243,-0.0183555,0.999454,0,
208.032,-0.387128,3.81546,0.255567,-0.0233939,0.0138443,0.0197601,0.999435,-0.198268,3.73429,0.433745,-0.0251082,0.0123141,-0.0183624,0.99944,0,
208.092,-0.413514,3.81463,0.255137,-0.0244836,0.0139159,0.0190217,0.999422,-0.225806,3.73289,0.434399,-0.0262051,0.0122939,-0.0183759,0.999412,0,
208.152,-0.43965,3.81372,0.254826,-0.025114,0.0140027,0.0182561,0.99942,-0.253352,3.73143,0.43505,-0.0268399,0.0122822,-0.0183837,0.999395,0,
208.21,-0.464728,3.81282,0.254536,-0.02603,0.0141022,0.0174474,0.999409,-0.279746,3.73,0.435673,-0.0277214,0.012266,-0.0183945,0.999371,0,
208.232,-0.473994,3.81269,0.25375,-0.0264466,0.0142065,0.0165617,0.999412,-0.2898,3.72944,0.43591,-0.0280771,0.0122595,-0.0183989,0.999361,0,
208.29,-0.473994,3.81269,0.25375,-0.0264466,0.0142065,0.0165617,0.999412,-0.316209,3.72794,0.436531,-0.0291862,0.012239,-0.0184125,0.99933,0,
208.313,-0.508997,3.81142,0.252938,-0.0279051,0.0144075,0.0148849,0.999396,-0.32682,3.72732,0.436779,-0.0294922,0.0122334,-0.0184162,0.99932,0,
208.372,-0.508997,3.81142,0.252938,-0.0279051,0.0144075,0.0148849,0.999396,-0.354352,3.72568,0.437424,-0.0309009,0.0122074,-0.0184335,0.999278,0,
208.432,-0.562057,3.80895,0.252883,-0.0301372,0.0146097,0.0133486,0.99935,-0.381774,3.72397,0.438063,-0.0317486,0.0121918,-0.0184438,0.999251,0,
208.49,-0.562057,3.80895,0.252883,-0.0301372,0.0146097,0.0133486,0.99935,-0.408583,3.72225,0.438686,-0.0329673,0.0121693,-0.0184587,0.999212,0,
