time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,
1.92032,7.69526,0.980354,0.134347,0.705691,0.0203135,-0.00456012,0.708214,7.69526,0.980354,0.134347,0.705691,0.0203135,-0.00456012,0.708214,
1.94334,7.69526,0.980354,0.134347,0.705691,0.0203135,-0.00456012,0.708214,7.69526,0.980354,0.134347,0.705691,0.0203135,-0.00456012,0.708214,
2.00315,7.69391,1.01273,0.134676,0.704246,0.0206554,-0.00465515,0.70964,7.69391,1.01273,0.134676,0.704246,0.0206554,-0.00465515,0.70964,
2.06303,7.69312,1.03649,0.135125,0.702513,0.0208031,-0.00477726,0.71135,7.69312,1.03649,0.135125,0.702513,0.0208031,-0.00477726,0.71135,
2.1231,7.69222,1.06024,0.135566,0.700165,0.0209834,-0.00491297,0.713656,7.69222,1.06024,0.135566,0.700165,0.0209834,-0.00491297,0.713656,
2.18295,7.69222,1.06024,0.135566,0.700165,0.0209834,-0.00491297,0.713656,7.69222,1.06024,0.135566,0.700165,0.0209834,-0.00491297,0.713656,
2.24078,7.69001,1.10754,0.136473,0.69486,0.0213539,-0.00507534,0.71881,7.69001,1.10754,0.136473,0.69486,0.0213539,-0.00507534,0.71881,
2.26382,7.68912,1.1169,0.136374,0.693625,0.0215324,-0.00506868,0.719997,7.68912,1.1169,0.136374,0.693625,0.0215324,-0.00506868,0.719997,
2.32367,7.68768,1.14078,0.136852,0.691807,0.0216613,-0.00503198,0.72174,7.68768,1.14078,0.136852,0.691807,0.0216613,-0.00503198,0.72174,
2.38376,7.68606,1.16558,0.137367,0.689247,0.0217721,-0.00498175,0.724182,7.68606,1.16558,0.137367,0.689247,0.0217721,-0.00498175,0.724182,
2.4436,7.68431,1.19022,0.13787,0.685894,0.0218354,-0.00491074,0.727358,7.68431,1.19022,0.13787,0.685894,0.0218354,-0.00491074,0.727358,
2.50344,7.68242,1.21415,0.138361,0.682659,0.021872,-0.00481616,0.730394,7.68242,1.21415,0.138361,0.682659,0.021872,-0.00481616,0.730394,
2.56138,7.68029,1.23804,0.138837,0.679598,0.0218511,-0.00474063,0.733244,7.68029,1.23804,0.138837,0.679598,0.0218511,-0.00474063,0.733244,
2.58451,7.67903,1.24747,0.138701,0.678209,0.0217991,-0.0045839,0.734531,7.67903,1.24747,0.138701,0.678209,0.0217991,-0.0045839,0.734531,
2.64434,7.67653,1.27236,0.139174,0.675062,0.0217044,-0.00444063,0.737429,7.67653,1.27236,0.139174,0.675062,0.0217044,-0.00444063,0.737429,
2.70219,7.67397,1.29604,0.139609,0.67204,0.0215846,-0.0042496,0.740188,7.67397,1.29604,0.139609,0.67204,0.0215846,-0.0042496,0.740188,
2.72424,7.67258,1.30566,0.139455,0.670771,0.021457,-0.00397478,0.741343,7.67258,1.30566,0.139455,0.670771,0.021457,-0.00397478,0.741343,
2.78409,7.66965,1.33049,0.139878,0.667821,0.0213088,-0.00377119,0.744008,7.66965,1.33049,0.139878,0.667821,0.0213088,-0.00377119,0.744008,
2.84203,7.66658,1.35463,0.140258,0.665505,0.021148,-0.0035787,0.746085,7.66658,1.35463,0.140258,0.665505,0.021148,-0.0035787,0.746085,
2.86392,7.66507,1.36373,0.140065,0.664469,0.0209726,-0.00338099,0.747013,7.66507,1.36373,0.140065,0.664469,0.0209726,-0.00338099,0.747013,
2.92191,7.66184,1.38749,0.140427,0.661708,0.020789,-0.0032788,0.749466,7.66184,1.38749,0.140427,0.661708,0.020789,-0.0032788,0.749466,
2.94503,7.66021,1.39692,0.140248,0.660576,0.0206164,-0.00315244,0.750469,7.66021,1.39692,0.140248,0.660576,0.0206164,-0.00315244,0.750469,
3.00285,7.65669,1.42087,0.140599,0.657764,0.0204186,-0.00311778,0.752941,7.65669,1.42087,0.140599,0.657764,0.0204186,-0.00311778,0.752941,
3.02477,7.65493,1.43025,0.140406,0.656527,0.0202018,-0.00306448,0.754026,7.65493,1.43025,0.140406,0.656527,0.0202018,-0.00306448,0.754026,
3.08469,7.65493,1.43025,0.140406,0.656527,0.0202018,-0.00306448,0.754026,7.65493,1.43025,0.140406,0.656527,0.0202018,-0.00306448,0.754026,
3.14254,7.64699,1.4789,0.1411,0.649874,0.0197729,-0.00313091,0.759778,7.64699,1.4789,0.1411,0.649874,0.0197729,-0.00313091,0.759778,
3.16458,7.64504,1.48817,0.1409,0.64853,0.0195579,-0.00314018,0.760931,7.64504,1.48817,0.1409,0.64853,0.0195579,-0.00314018,0.760931,
3.22253,7.64069,1.51217,0.141214,0.645269,0.0193658,-0.00320778,0.763703,7.64069,1.51217,0.141214,0.645269,0.0193658,-0.00320778,0.763703,
3.24456,7.6387,1.52106,0.14101,0.644032,0.0192029,-0.00322908,0.76475,7.6387,1.52106,0.14101,0.644032,0.0192029,-0.00322908,0.76475,
3.30243,7.63418,1.54461,0.141348,0.64144,0.0190548,-0.00327817,0.76693,7.63418,1.54461,0.141348,0.64144,0.0190548,-0.00327817,0.76693,
3.32536,7.63205,1.55378,0.141166,0.640382,0.0189201,-0.00330191,0.767816,7.63205,1.55378,0.141166,0.640382,0.0189201,-0.00330191,0.767816,
3.38522,7.63205,1.55378,0.141166,0.640382,0.0189201,-0.00330191,0.767816,7.63205,1.55378,0.141166,0.640382,0.0189201,-0.00330191,0.767816,
3.4432,7.62242,1.60086,0.141916,0.635099,0.0186366,-0.00344545,0.772198,7.62242,1.60086,0.141916,0.635099,0.0186366,-0.00344545,0.772198,
3.46507,7.62026,1.60912,0.141725,0.633943,0.0184666,-0.00352402,0.773151,7.62065,1.60987,0.142221,0.633861,0.0186311,-0.00347528,0.773214,
3.52301,7.61529,1.63177,0.142116,0.631631,0.0183137,-0.00361693,0.775045,7.61588,1.63376,0.14303,0.631317,0.0186196,-0.0035365,0.775293,
3.54502,7.61286,1.64073,0.1419,0.630634,0.0181008,-0.00370652,0.77586,7.61399,1.64288,0.143341,0.630309,0.018615,-0.0035607,0.776113,
3.60289,7.60733,1.66463,0.142206,0.627654,0.0178211,-0.00386741,0.778279,7.60897,1.6669,0.144161,0.627248,0.0186008,-0.00363395,0.778589,
3.62594,7.6046,1.67467,0.142021,0.626396,0.0175164,-0.0039777,0.779298,7.60691,1.67636,0.144485,0.626044,0.0185952,-0.00366269,0.779557,
3.68589,7.59853,1.69973,0.142346,0.623457,0.0172655,-0.00403011,0.781657,7.60142,1.70124,0.145341,0.623059,0.018581,-0.00373375,0.781945,
3.74577,7.59853,1.69973,0.142346,0.623457,0.0172655,-0.00403011,0.781657,7.59575,1.72602,0.146199,0.619921,0.0185659,-0.00380817,0.784435,
3.80369,7.58625,1.74811,0.142961,0.617096,0.017042,-0.00389848,0.786694,7.59006,1.74999,0.147033,0.616568,0.0185495,-0.00388738,0.787074,
3.8257,7.58335,1.7577,0.142754,0.615791,0.0169931,-0.00375782,0.787717,7.58784,1.75901,0.147349,0.615321,0.0185433,-0.00391674,0.788049,
3.88362,7.57676,1.78196,0.143034,0.613146,0.0169723,-0.00361596,0.789779,7.58185,1.78301,0.148192,0.612608,0.0185297,-0.00398048,0.79016,
3.90664,7.5736,1.79213,0.142868,0.612139,0.0170205,-0.003346,0.79056,7.57939,1.79259,0.14853,0.611654,0.0185249,-0.00400283,0.790898,
3.96645,7.5667,1.81669,0.143203,0.609805,0.0171069,-0.00306302,0.792361,7.57297,1.8173,0.149403,0.609281,0.0185128,-0.00405834,0.792728,
4.02642,7.55966,1.84122,0.143512,0.607036,0.0171592,-0.00299563,0.794483,7.56641,1.84199,0.15028,0.606463,0.0184983,-0.00412402,0.794886,
4.0864,7.5523,1.86616,0.143805,0.604149,0.0171867,-0.00308446,0.79668,7.55961,1.86682,0.151167,0.603527,0.018483,-0.00419223,0.797118,
4.14429,7.54504,1.88998,0.144066,0.601023,0.017236,-0.00320657,0.79904,7.55293,1.89056,0.152019,0.600342,0.0184661,-0.00426594,0.799519,
4.16625,7.54172,1.89943,0.143859,0.599725,0.0173176,-0.00326457,0.800012,7.55032,1.89955,0.152343,0.599089,0.0184594,-0.00429485,0.800458,
4.2242,7.53412,1.92344,0.144155,0.597126,0.0175318,-0.00326316,0.801949,7.54332,1.92341,0.153207,0.596392,0.0184449,-0.00435694,0.802469,
4.24706,7.53068,1.93287,0.143982,0.596114,0.0178861,-0.00311961,0.802695,7.54052,1.93271,0.153545,0.595376,0.0184393,-0.00438028,0.803224,
4.30715,7.52281,1.95711,0.144379,0.593845,0.018262,-0.00299477,0.804367,7.53303,1.95738,0.154443,0.592988,0.0184262,-0.00443502,0.804988,
4.36495,7.51495,1.98061,0.144736,0.59086,0.0187005,-0.0028332,0.806553,7.52569,1.98105,0.155309,0.589925,0.0184092,-0.004505,0.807236,
4.38695,7.51495,1.98061,0.144736,0.59086,0.0187005,-0.0028332,0.806553,7.52281,1.9901,0.155642,0.588799,0.0184029,-0.00453068,0.808058,
4.44688,7.50298,2.01428,0.144996,0.587125,0.0195319,-0.00240236,0.809257,7.51492,2.01461,0.156546,0.586065,0.0183875,-0.00459283,0.810042,
4.50485,7.50298,2.01428,0.144996,0.587125,0.0195319,-0.00240236,0.809257,7.50707,2.03847,0.15743,0.58344,0.0183726,-0.00465232,0.811935,
4.52769,7.49062,2.04782,0.145257,0.583384,0.0200379,-0.00200547,0.811947,7.49062,2.04782,0.145257,0.583384,0.0200379,-0.00200547,0.811947,
4.58778,7.48175,2.07226,0.145683,0.580144,0.020194,-0.00186506,0.814261,7.48175,2.07226,0.145683,0.580144,0.020194,-0.00186506,0.814261,
4.64758,7.47265,2.09679,0.146115,0.577055,0.0203681,-0.00168774,0.816449,7.47265,2.09679,0.146115,0.577055,0.0203681,-0.00168774,0.816449,
4.70745,7.46339,2.12123,0.146549,0.57281,0.0205557,-0.00138804,0.819429,7.46339,2.12123,0.146549,0.57281,0.0205557,-0.00138804,0.81943,
4.76734,7.46339,2.12123,0.146549,0.57281,0.0205557,-0.00138804,0.819429,7.46339,2.12123,0.146549,0.57281,0.0205557,-0.00138804,0.81943,
4.82534,7.44438,2.16935,0.147322,0.564312,0.0207665,-0.000811851,0.8253,7.44438,2.16935,0.147322,0.564312,0.0207665,-0.000811851,0.8253,
4.84819,7.44017,2.17879,0.147138,0.562607,0.0208132,-0.000449993,0.826463,7.44017,2.17879,0.147138,0.562607,0.0208132,-0.000449993,0.826463,
4.90823,7.43014,2.20299,0.147536,0.558332,0.0208534,-0.00011572,0.829355,7.43014,2.20299,0.147536,0.558332,0.0208534,-0.00011572,0.829355,
4.9661,7.42014,2.22632,0.147902,0.554316,0.0208793,0.000316888,0.832045,7.42014,2.22632,0.147902,0.554316,0.0208793,0.000316888,0.832045,
4.98815,7.41573,2.23561,0.147713,0.5525,0.0208527,0.000755293,0.833252,7.41573,2.23561,0.147713,0.5525,0.0208527,0.000755293,0.833252,
5.04795,7.40501,2.25977,0.14809,0.547839,0.0208403,0.00111065,0.836323,7.40501,2.25977,0.14809,0.547839,0.0208403,0.00111065,0.836323,
5.10593,7.40501,2.25977,0.14809,0.547839,0.0208403,0.00111065,0.836323,7.40501,2.25977,0.14809,0.547839,0.0208403,0.00111065,0.836323,
5.12881,7.39444,2.28282,0.148418,0.543149,0.0208425,0.00150991,0.839377,7.39444,2.28282,0.148418,0.543149,0.0208425,0.00150991,0.839377,
5.18891,7.37839,2.31604,0.148559,0.536292,0.020645,0.00234643,0.843777,7.37839,2.31604,0.148559,0.536292,0.020645,0.00234643,0.843777,
5.24868,7.36673,2.33991,0.148883,0.532097,0.020461,0.00275074,0.846432,7.36673,2.33991,0.148883,0.532097,0.020461,0.00275074,0.846432,
5.30863,7.35507,2.36324,0.149193,0.527532,0.0203048,0.00314852,0.849286,7.35507,2.36324,0.149193,0.527532,0.0203048,0.00314852,0.849286,
5.36845,7.34318,2.38633,0.149446,0.523104,0.0201817,0.00359251,0.852022,7.34318,2.38633,0.149446,0.523104,0.0201817,0.00359251,0.852022,
5.42641,7.33091,2.40948,0.149664,0.518608,0.0201092,0.00403894,0.854766,7.33091,2.40948,0.149664,0.518608,0.0201092,0.00403894,0.854766,
5.44947,7.32572,2.41842,0.149391,0.516682,0.0200127,0.00450984,0.855931,7.32572,2.41842,0.149391,0.516682,0.0200127,0.00450984,0.855931,
5.50935,7.31302,2.44154,0.149614,0.512635,0.0200005,0.00491717,0.85836,7.31302,2.44154,0.149614,0.512635,0.0200005,0.00491717,0.85836,
5.56718,7.31302,2.44154,0.149614,0.512635,0.0200005,0.00491717,0.85836,7.31302,2.44154,0.149614,0.512635,0.0200005,0.00491717,0.85836,
5.58933,7.29551,2.47185,0.14948,0.508044,0.0198845,0.00551176,0.861084,7.29551,2.47185,0.14948,0.508044,0.0198845,0.00551176,0.861084,
5.64911,7.28255,2.49443,0.149649,0.503529,0.0198769,0.00559531,0.863732,7.28255,2.49443,0.149649,0.503529,0.0198769,0.00559531,0.863732,
5.70702,7.28255,2.49443,0.149649,0.503529,0.0198769,0.00559531,0.863732,7.28255,2.49443,0.149649,0.503529,0.0198769,0.00559531,0.863732,
5.72894,7.26437,2.52469,0.149482,0.495569,0.0197017,0.00525329,0.868329,7.26437,2.52469,0.149482,0.495569,0.0197017,0.00525329,0.868329,
