time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,mode,
521.509,-2.78191,-3.40304,0.243249,0.999451,-0.00278866,-0.00946386,0.0316384,-2.15294,-3.35835,0.242292,0.998398,0.0151989,0.0124204,0.0530729,0,
521.569,-2.75555,-3.40126,0.243229,0.999462,-0.0026974,-0.00935445,0.0313267,-2.12651,-3.35591,0.241664,0.998418,0.0151942,0.0124263,0.0526896,2,
521.629,-2.75555,-3.40126,0.243229,0.999462,-0.0026974,-0.00935445,0.0313267,-2.10036,-3.35335,0.241047,0.998406,0.0151969,0.0124229,0.0529073,2,
521.689,-2.70241,-3.39764,0.24317,0.999412,-0.00259764,-0.00915962,0.0329412,-2.07435,-3.35081,0.240434,0.99834,0.0152122,0.0124042,0.0541389,2,
521.749,-2.67599,-3.39576,0.243125,0.999366,-0.00258828,-0.00908428,0.0343202,-2.0485,-3.34853,0.239817,0.998291,0.0152235,0.0123903,0.0550495,2,
521.807,-2.65065,-3.39388,0.243048,0.999337,-0.00254843,-0.00904113,0.0351735,-2.02361,-3.34628,0.239224,0.998266,0.0152291,0.0123835,0.0554985,2,
521.829,-2.64069,-3.39305,0.242596,0.999322,-0.00244839,-0.00901206,0.0356129,-2.01335,-3.34527,0.238982,0.998252,0.0152321,0.0123797,0.0557426,2,
521.889,-2.61477,-3.39109,0.242542,0.999289,-0.00232274,-0.00900181,0.0365392,-1.98796,-3.34279,0.238383,0.998217,0.01524,0.01237,0.0563767,2,
521.948,-2.58939,-3.38913,0.242478,0.9994,-0.00212345,-0.0089998,0.0333699,-1.96297,-3.34008,0.237801,0.99838,0.015203,0.0124154,0.0533992,2,
521.969,-2.58061,-3.38844,0.242079,0.999438,-0.0019422,-0.00899302,0.032247,-1.95331,-3.33915,0.237573,0.998445,0.0151879,0.0124339,0.0521839,2,
522.029,-2.55477,-3.38667,0.242022,0.999598,-0.0018287,-0.00899112,0.0268141,-1.92762,-3.33684,0.236961,0.998719,0.0151186,0.0125181,0.0466411,2,
522.087,-2.52933,-3.38521,0.241953,0.999724,-0.00181621,-0.00898256,0.0216175,-1.9025,-3.33463,0.236361,0.99895,0.0150525,0.0125975,0.0413839,2,
522.11,-2.51967,-3.38469,0.241531,0.999764,-0.00187664,-0.00897469,0.0196964,-1.89196,-3.33375,0.236108,0.999031,0.0150274,0.0126274,0.0393974,0,
522.169,-2.4938,-3.38356,0.24147,0.999845,-0.00194751,-0.00897497,0.015023,-1.86508,-3.33162,0.235459,0.999211,0.0149656,0.0127006,0.034516,0,
522.27,-2.4938,-3.38356,0.24147,0.999845,-0.00194751,-0.00897497,0.015023,-1.8189,-3.3284,0.234332,0.999419,0.0148805,0.0128002,0.027849,0,
522.33,-2.42224,-3.38126,0.241836,0.999925,-0.00061827,-0.00944332,0.00773126,-1.79142,-3.32686,0.23365,0.999454,0.0148642,0.0128191,0.0265791,0,
522.388,-2.39747,-3.3806,0.241862,0.999926,0.000274974,-0.00967138,0.00741251,-1.76519,-3.32546,0.232998,0.999466,0.0148585,0.0128257,0.0261336,0,
522.41,-2.38912,-3.38025,0.241558,0.999923,0.000973144,-0.00987693,0.0074887,-1.75507,-3.32492,0.232746,0.999465,0.0148587,0.0128255,0.0261483,0,
522.468,-2.36196,-3.37985,0.242095,0.999927,0.000979183,-0.00987634,0.0068773,-1.72862,-3.32353,0.232087,0.999481,0.0148511,0.0128343,0.0255565,0,
522.491,-2.35422,-3.37959,0.241857,0.999926,0.00139544,-0.0100313,0.0067111,-1.71804,-3.32298,0.231823,0.999487,0.0148482,0.0128377,0.0253277,0,
522.548,-2.35422,-3.37959,0.241857,0.999926,0.00139544,-0.0100313,0.0067111,-1.69165,-3.32163,0.231165,0.999501,0.0148405,0.0128465,0.0247338,0,
522.57,-2.32078,-3.37892,0.241374,0.999931,0.00145686,-0.0101282,0.00572997,-1.68151,-3.32113,0.230911,0.999506,0.014838,0.0128495,0.0245349,0,
522.63,-2.2926,-3.3786,0.241945,0.999933,0.00145956,-0.0101278,0.00546335,-1.65406,-3.31977,0.230225,0.999513,0.0148343,0.0128537,0.0242482,0,
